,Từ khóa,Chỉ số tài liệu,Tần số
251,experiment,1069,1
252,experiment,1073,2
253,experiment,1074,2
254,experiment,1075,1
255,experiment,1077,1
256,experiment,1079,1
257,experiment,1080,1
258,experiment,1081,1
259,experiment,1082,1
260,experiment,1091,1
261,experiment,1096,2
262,experiment,1097,1
263,experiment,1109,1
264,experiment,1111,1
265,experiment,1117,2
266,experiment,1121,2
267,experiment,1124,1
268,experiment,1126,1
269,experiment,1144,1
270,experiment,1145,1
271,experiment,1150,1
272,experiment,1152,1
273,experiment,1154,1
274,experiment,1155,2
275,experiment,1157,1
276,experiment,1158,1
277,experiment,1159,2
278,experiment,1160,2
279,experiment,1166,1
280,experiment,1170,1
281,experiment,1171,1
282,experiment,1176,1
283,experiment,1184,1
284,experiment,1185,1
285,experiment,1186,1
286,experiment,1191,1
287,experiment,1194,1
288,experiment,1195,2
289,experiment,1197,1
290,experiment,1198,1
291,experiment,1203,2
292,experiment,1204,1
293,experiment,1208,3
294,experiment,1211,1
295,experiment,1212,2
296,experiment,1213,3
297,experiment,1215,1
298,experiment,1217,1
299,experiment,1219,1
300,experiment,1221,1
301,experiment,1224,3
302,experiment,1226,1
303,experiment,1227,1
304,experiment,1229,1
305,experiment,1230,1
306,experiment,1233,1
307,experiment,1236,1
308,experiment,1260,1
309,experiment,1261,1
310,experiment,1262,2
311,experiment,1263,2
312,experiment,1267,1
313,experiment,1268,2
314,experiment,1276,2
315,experiment,1289,1
316,experiment,1297,1
317,experiment,1301,2
318,experiment,1309,1
319,experiment,1313,2
320,experiment,1316,1
321,experiment,1318,1
322,experiment,1323,1
323,experiment,1336,3
324,experiment,1337,2
325,experiment,1338,1
326,experiment,1340,1
327,experiment,1351,2
328,experiment,1362,2
329,experiment,1363,1
330,experiment,1368,1
331,experiment,1371,1
332,experiment,1373,1
333,experiment,1377,1
334,experiment,1383,1
335,experiment,1389,1
336,experiment,1391,1
337,experiment,1395,1
338,experiment,1396,1
339,investig,0,1
340,investig,1,1
341,investig,6,1
342,investig,7,1
343,investig,8,3
344,investig,18,1
345,investig,28,1
346,investig,29,1
347,investig,33,2
348,investig,36,2
349,investig,39,2
350,investig,41,1
351,investig,43,2
352,investig,44,1
353,investig,49,2
354,investig,50,1
355,investig,55,2
356,investig,56,1
357,investig,71,1
358,investig,72,2
359,investig,73,1
360,investig,77,1
361,investig,78,2
362,investig,79,1
363,investig,81,3
364,investig,83,3
365,investig,86,1
366,investig,88,3
367,investig,89,1
368,investig,93,1
369,investig,98,2
370,investig,101,1
371,investig,103,1
372,investig,104,1
373,investig,115,1
374,investig,119,1
375,investig,122,1
376,investig,125,3
377,investig,127,1
378,investig,128,3
379,investig,130,2
380,investig,132,1
381,investig,134,1
382,investig,138,1
383,investig,164,1
384,investig,169,1
385,investig,172,1
386,investig,173,2
387,investig,174,1
388,investig,175,1
389,investig,176,2
390,investig,178,2
391,investig,181,1
392,investig,183,1
393,investig,184,1
394,investig,186,1
395,investig,187,2
396,investig,188,3
397,investig,192,3
398,investig,194,1
399,investig,196,1
400,investig,197,4
401,investig,201,2
402,investig,204,1
403,investig,206,2
404,investig,211,1
405,investig,212,1
406,investig,213,1
407,investig,214,1
408,investig,215,2
409,investig,218,1
410,investig,221,3
411,investig,224,1
412,investig,227,1
413,investig,231,3
414,investig,232,1
415,investig,242,3
416,investig,244,1
417,investig,245,1
418,investig,250,1
419,investig,251,1
420,investig,255,1
421,investig,259,1
422,investig,260,1
423,investig,264,1
424,investig,271,1
425,investig,273,1
426,investig,279,1
427,investig,283,1
428,investig,286,1
429,investig,287,2
430,investig,292,1
431,investig,293,1
432,investig,311,1
433,investig,313,1
434,investig,316,1
435,investig,323,1
436,investig,329,1
437,investig,333,1
438,investig,338,1
439,investig,341,1
440,investig,343,1
441,investig,363,1
442,investig,364,1
443,investig,369,1
444,investig,371,3
445,investig,373,2
446,investig,380,1
447,investig,389,1
448,investig,392,1
449,investig,420,1
450,investig,422,1
451,investig,426,2
452,investig,431,1
453,investig,432,1
454,investig,433,2
455,investig,435,1
456,investig,441,3
457,investig,453,1
458,investig,461,2
459,investig,462,3
460,investig,463,1
461,investig,464,1
462,investig,465,1
463,investig,468,1
464,investig,469,1
465,investig,473,1
466,investig,485,1
467,investig,489,1
468,investig,494,1
469,investig,496,2
470,investig,504,1
471,investig,512,1
472,investig,515,1
473,investig,518,1
474,investig,521,3
475,investig,526,2
476,investig,528,1
477,investig,534,1
478,investig,539,2
479,investig,541,1
480,investig,548,2
481,investig,551,3
482,investig,552,1
483,investig,553,1
484,investig,564,1
485,investig,565,1
486,investig,566,2
487,investig,568,1
488,investig,570,1
489,investig,609,1
490,investig,617,2
491,investig,622,1
492,investig,624,4
493,investig,626,2
494,investig,633,1
495,investig,634,1
496,investig,635,2
497,investig,637,1
498,investig,642,2
499,investig,650,1
500,investig,654,1
501,investig,657,2
502,investig,661,2
503,investig,664,1
504,investig,672,4
505,investig,678,1
506,investig,688,2
507,investig,691,3
508,investig,692,3
509,investig,693,1
510,investig,694,2
511,investig,695,2
512,investig,698,1
513,investig,699,1
514,investig,708,1
515,investig,709,2
516,investig,710,2
517,investig,711,6
518,investig,712,3
519,investig,729,1
520,investig,738,1
521,investig,740,1
522,investig,742,1
523,investig,746,2
524,investig,756,1
525,investig,758,1
526,investig,762,1
527,investig,765,1
528,investig,771,1
529,investig,772,1
530,investig,779,2
531,investig,781,4
532,investig,795,1
533,investig,796,1
534,investig,798,1
535,investig,800,2
536,investig,803,1
537,investig,807,2
538,investig,808,2
539,investig,810,2
540,investig,811,1
541,investig,814,1
542,investig,815,1
543,investig,817,1
544,investig,824,1
545,investig,825,1
546,investig,826,1
547,investig,827,1
548,investig,829,1
549,investig,835,1
550,investig,837,1
551,investig,840,2
552,investig,843,1
553,investig,844,1
554,investig,849,1
555,investig,854,1
556,investig,856,1
557,investig,857,1
558,investig,858,1
559,investig,862,1
560,investig,874,1
561,investig,877,1
562,investig,886,2
563,investig,891,1
564,investig,892,2
565,investig,893,1
566,investig,901,1
567,investig,904,2
568,investig,906,2
569,investig,911,1
570,investig,925,1
571,investig,926,2
572,investig,931,1
573,investig,932,2
574,investig,945,3
575,investig,951,1
576,investig,952,1
577,investig,957,1
578,investig,958,2
579,investig,959,1
580,investig,969,1
581,investig,970,2
582,investig,971,1
583,investig,974,1
584,investig,985,4
585,investig,986,1
586,investig,990,1
587,investig,991,2
588,investig,992,2
589,investig,993,3
590,investig,995,2
591,investig,996,1
592,investig,998,1
593,investig,1000,1
594,investig,1001,2
595,investig,1003,1
596,investig,1018,1
597,investig,1038,2
598,investig,1046,1
599,investig,1055,1
600,investig,1061,1
601,investig,1062,1
602,investig,1064,1
603,investig,1065,4
604,investig,1067,1
605,investig,1071,1
606,investig,1073,1
607,investig,1074,1
608,investig,1077,1
609,investig,1080,1
610,investig,1081,2
611,investig,1082,1
612,investig,1090,1
613,investig,1091,1
614,investig,1092,1
615,investig,1093,2
616,investig,1094,2
617,investig,1096,1
618,investig,1097,1
619,investig,1099,1
620,investig,1103,1
621,investig,1113,1
622,investig,1115,1
623,investig,1118,1
624,investig,1129,2
625,investig,1143,2
626,investig,1144,1
627,investig,1145,1
628,investig,1152,1
629,investig,1154,2
630,investig,1155,3
631,investig,1158,1
632,investig,1160,1
633,investig,1161,3
634,investig,1162,3
635,investig,1163,2
636,investig,1164,1
637,investig,1165,2
638,investig,1170,1
639,investig,1171,1
640,investig,1172,2
641,investig,1176,1
642,investig,1189,1
643,investig,1190,1
644,investig,1191,2
645,investig,1193,2
646,investig,1198,2
647,investig,1204,1
648,investig,1210,1
649,investig,1212,1
650,investig,1219,1
651,investig,1221,1
652,investig,1224,2
653,investig,1226,1
654,investig,1229,1
655,investig,1230,1
656,investig,1238,1
657,investig,1242,1
658,investig,1246,2
659,investig,1248,1
660,investig,1251,1
661,investig,1252,1
662,investig,1256,1
663,investig,1270,1
664,investig,1271,1
665,investig,1273,3
666,investig,1276,1
667,investig,1289,1
668,investig,1302,1
669,investig,1304,2
670,investig,1308,1
671,investig,1312,4
672,investig,1316,1
673,investig,1318,3
674,investig,1319,2
675,investig,1322,2
676,investig,1325,1
677,investig,1332,1
678,investig,1334,1
679,investig,1336,1
680,investig,1337,2
681,investig,1340,2
682,investig,1341,1
683,investig,1342,1
684,investig,1348,1
685,investig,1349,1
686,investig,1351,2
687,investig,1352,2
688,investig,1353,2
689,investig,1363,3
690,investig,1366,2
691,investig,1370,1
692,investig,1372,1
693,investig,1376,1
694,investig,1380,2
695,investig,1382,1
696,investig,1386,2
697,investig,1392,1
698,investig,1394,1
699,investig,1399,1
700,aerodynam,0,1
701,aerodynam,4,1
702,aerodynam,10,1
703,aerodynam,12,1
704,aerodynam,13,5
705,aerodynam,28,2
706,aerodynam,31,1
707,aerodynam,32,3
708,aerodynam,35,1
709,aerodynam,43,3
710,aerodynam,50,4
711,aerodynam,51,2
712,aerodynam,65,4
713,aerodynam,72,1
714,aerodynam,76,2
715,aerodynam,94,1
716,aerodynam,119,1
717,aerodynam,128,1
718,aerodynam,136,2
719,aerodynam,140,1
720,aerodynam,141,1
721,aerodynam,162,4
722,aerodynam,163,1
723,aerodynam,171,3
724,aerodynam,184,1
725,aerodynam,201,4
726,aerodynam,202,1
727,aerodynam,203,2
728,aerodynam,204,1
729,aerodynam,215,1
730,aerodynam,224,2
731,aerodynam,236,1
732,aerodynam,243,1
733,aerodynam,271,1
734,aerodynam,276,1
735,aerodynam,283,1
736,aerodynam,286,3
737,aerodynam,288,1
738,aerodynam,295,1
739,aerodynam,296,2
740,aerodynam,328,3
741,aerodynam,336,1
742,aerodynam,341,1
743,aerodynam,355,1
744,aerodynam,356,1
745,aerodynam,359,1
746,aerodynam,378,1
747,aerodynam,389,2
748,aerodynam,390,3
749,aerodynam,405,1
750,aerodynam,414,2
751,aerodynam,433,1
752,aerodynam,440,5
753,aerodynam,441,1
754,aerodynam,451,2
755,aerodynam,452,3
756,aerodynam,463,1
757,aerodynam,480,1
758,aerodynam,485,1
759,aerodynam,498,2
760,aerodynam,529,1
761,aerodynam,535,1
762,aerodynam,543,1
763,aerodynam,545,1
764,aerodynam,566,2
765,aerodynam,591,1
766,aerodynam,597,1
767,aerodynam,598,1
768,aerodynam,605,3
769,aerodynam,607,1
770,aerodynam,623,1
771,aerodynam,624,1
772,aerodynam,626,1
773,aerodynam,631,1
774,aerodynam,633,2
775,aerodynam,634,1
776,aerodynam,637,3
777,aerodynam,649,1
778,aerodynam,657,4
779,aerodynam,670,2
780,aerodynam,684,2
781,aerodynam,687,3
782,aerodynam,688,2
783,aerodynam,697,1
784,aerodynam,703,1
785,aerodynam,706,1
786,aerodynam,707,1
787,aerodynam,708,1
788,aerodynam,710,2
789,aerodynam,711,2
790,aerodynam,714,3
791,aerodynam,715,1
792,aerodynam,716,3
793,aerodynam,718,2
794,aerodynam,745,1
795,aerodynam,747,2
796,aerodynam,748,5
797,aerodynam,752,6
798,aerodynam,758,3
799,aerodynam,779,1
800,aerodynam,780,2
801,aerodynam,782,2
802,aerodynam,791,1
803,aerodynam,793,1
804,aerodynam,797,1
805,aerodynam,800,2
806,aerodynam,811,2
807,aerodynam,812,2
808,aerodynam,813,1
809,aerodynam,814,3
810,aerodynam,858,3
811,aerodynam,859,3
812,aerodynam,860,1
813,aerodynam,876,2
814,aerodynam,885,1
815,aerodynam,891,1
816,aerodynam,893,1
817,aerodynam,895,1
818,aerodynam,898,2
819,aerodynam,901,1
820,aerodynam,916,1
821,aerodynam,918,1
822,aerodynam,924,1
823,aerodynam,926,1
824,aerodynam,932,1
825,aerodynam,938,1
826,aerodynam,946,1
827,aerodynam,971,1
828,aerodynam,977,1
829,aerodynam,980,1
830,aerodynam,981,1
831,aerodynam,998,3
832,aerodynam,1004,1
833,aerodynam,1007,1
834,aerodynam,1063,1
835,aerodynam,1065,9
836,aerodynam,1088,1
837,aerodynam,1103,2
838,aerodynam,1111,2
839,aerodynam,1114,2
840,aerodynam,1146,1
841,aerodynam,1155,1
842,aerodynam,1161,1
843,aerodynam,1162,1
844,aerodynam,1163,2
845,aerodynam,1194,1
846,aerodynam,1196,3
847,aerodynam,1205,1
848,aerodynam,1208,1
849,aerodynam,1243,2
850,aerodynam,1245,1
851,aerodynam,1258,1
852,aerodynam,1270,1
853,aerodynam,1271,2
854,aerodynam,1273,1
855,aerodynam,1288,1
856,aerodynam,1290,2
857,aerodynam,1304,1
858,aerodynam,1313,1
859,aerodynam,1318,1
860,aerodynam,1319,2
861,aerodynam,1327,1
862,aerodynam,1330,1
863,aerodynam,1331,2
864,aerodynam,1332,4
865,aerodynam,1333,2
866,aerodynam,1334,3
867,aerodynam,1335,2
868,aerodynam,1338,2
869,aerodynam,1339,1
870,aerodynam,1341,2
871,aerodynam,1342,1
872,aerodynam,1344,2
873,aerodynam,1346,2
874,aerodynam,1351,2
875,aerodynam,1378,2
876,aerodynam,1379,5
877,aerodynam,1390,1
878,wing,0,3
879,wing,12,4
880,wing,13,4
881,wing,29,2
882,wing,30,2
883,wing,41,5
884,wing,51,7
885,wing,59,3
886,wing,68,1
887,wing,75,3
888,wing,77,2
889,wing,91,1
890,wing,94,2
891,wing,96,1
892,wing,145,5
893,wing,146,7
894,wing,188,4
895,wing,190,1
896,wing,194,3
897,wing,198,3
898,wing,199,5
899,wing,201,2
900,wing,203,5
901,wing,204,9
902,wing,221,5
903,wing,223,1
904,wing,224,10
905,wing,225,1
906,wing,226,4
907,wing,228,7
908,wing,229,8
909,wing,234,2
910,wing,243,1
911,wing,245,3
912,wing,246,7
913,wing,249,4
914,wing,250,2
915,wing,251,1
916,wing,255,1
917,wing,264,1
918,wing,278,4
919,wing,283,3
920,wing,286,3
921,wing,287,6
922,wing,288,9
923,wing,289,1
924,wing,310,2
925,wing,312,1
926,wing,314,3
927,wing,315,1
928,wing,332,2
929,wing,335,1
930,wing,359,1
931,wing,361,1
932,wing,363,1
933,wing,378,1
934,wing,394,1
935,wing,414,1
936,wing,415,1
937,wing,419,8
938,wing,427,1
939,wing,430,1
940,wing,431,13
941,wing,432,19
942,wing,433,6
943,wing,440,1
944,wing,441,4
945,wing,452,4
946,wing,463,9
947,wing,464,3
948,wing,465,1
949,wing,485,1
950,wing,496,3
951,wing,502,1
952,wing,511,1
953,wing,512,3
954,wing,519,8
955,wing,544,4
956,wing,546,2
957,wing,560,3
958,wing,598,3
959,wing,599,3
960,wing,600,4
961,wing,611,3
962,wing,631,3
963,wing,632,2
964,wing,635,2
965,wing,636,3
966,wing,637,6
967,wing,642,5
968,wing,651,1
969,wing,670,2
970,wing,671,1
971,wing,672,11
972,wing,673,3
973,wing,674,4
974,wing,675,3
975,wing,676,4
976,wing,677,5
977,wing,678,2
978,wing,679,4
979,wing,680,3
980,wing,681,3
981,wing,682,7
982,wing,685,2
983,wing,691,2
984,wing,692,3
985,wing,693,4
986,wing,694,5
987,wing,695,11
988,wing,697,6
989,wing,698,10
990,wing,699,3
991,wing,702,2
992,wing,703,2
993,wing,704,2
994,wing,707,2
995,wing,708,4
996,wing,710,2
997,wing,711,10
998,wing,713,1
999,wing,746,2
1000,wing,747,3
1001,wing,748,6
1002,wing,751,7
1003,wing,754,2
1004,wing,756,4
1005,wing,767,2
1006,wing,778,8
1007,wing,779,3
1008,wing,780,2
1009,wing,782,3
1010,wing,790,3
1011,wing,791,4
1012,wing,792,4
1013,wing,793,8
1014,wing,794,1
1015,wing,795,3
1016,wing,796,8
1017,wing,797,3
1018,wing,800,1
1019,wing,802,6
1020,wing,807,1
1021,wing,808,2
1022,wing,810,6
1023,wing,859,3
1024,wing,876,4
1025,wing,878,1
1026,wing,882,1
1027,wing,894,2
1028,wing,900,3
1029,wing,901,6
1030,wing,915,4
1031,wing,916,4
1032,wing,917,2
1033,wing,918,7
1034,wing,919,2
1035,wing,920,7
1036,wing,922,6
1037,wing,923,11
1038,wing,926,1
1039,wing,928,2
1040,wing,969,5
1041,wing,970,1
1042,wing,990,2
1043,wing,1061,5
1044,wing,1063,5
1045,wing,1073,4
1046,wing,1074,10
1047,wing,1088,6
1048,wing,1089,3
1049,wing,1090,4
1050,wing,1091,9
1051,wing,1093,4
1052,wing,1094,4
1053,wing,1107,1
1054,wing,1110,1
1055,wing,1114,3
1056,wing,1127,1
1057,wing,1143,4
1058,wing,1161,5
1059,wing,1162,4
1060,wing,1163,3
1061,wing,1167,3
1062,wing,1168,3
1063,wing,1169,5
1064,wing,1183,1
1065,wing,1185,3
1066,wing,1187,3
1067,wing,1196,3
1068,wing,1201,3
1069,wing,1206,2
1070,wing,1207,1
1071,wing,1217,4
1072,wing,1219,1
1073,wing,1228,5
1074,wing,1232,1
1075,wing,1238,12
1076,wing,1242,6
1077,wing,1245,6
1078,wing,1265,2
1079,wing,1270,1
1080,wing,1271,1
1081,wing,1275,1
1082,wing,1276,3
1083,wing,1279,5
1084,wing,1288,6
1085,wing,1289,3
1086,wing,1293,1
1087,wing,1319,1
1088,wing,1327,1
1089,wing,1330,2
1090,wing,1331,4
1091,wing,1332,6
1092,wing,1333,5
1093,wing,1335,2
1094,wing,1336,5
1095,wing,1337,3
1096,wing,1338,4
1097,wing,1339,6
1098,wing,1340,8
1099,wing,1341,6
1100,wing,1342,6
1101,wing,1354,2
1102,wing,1361,3
1103,wing,1379,1
1104,slipstream,0,5
1105,slipstream,408,1
1106,slipstream,452,6
1107,slipstream,483,7
1108,slipstream,1063,5
1109,slipstream,1088,2
1110,slipstream,1089,1
1111,slipstream,1090,1
1112,slipstream,1091,1
1113,slipstream,1093,3
1114,slipstream,1094,1
1115,slipstream,1143,9
1116,slipstream,1163,1
1117,slipstream,1164,1
1118,slipstream,1165,1
1119,studi,0,1
1120,studi,1,2
1121,studi,7,1
1122,studi,8,1
1123,studi,10,1
1124,studi,16,1
1125,studi,20,1
1126,studi,24,1
1127,studi,28,1
1128,studi,32,2
1129,studi,36,1
1130,studi,38,1
1131,studi,40,1
1132,studi,41,1
1133,studi,44,2
1134,studi,50,1
1135,studi,54,1
1136,studi,55,2
1137,studi,60,2
1138,studi,69,2
1139,studi,70,1
1140,studi,72,2
1141,studi,73,1
1142,studi,74,1
1143,studi,76,3
1144,studi,78,1
1145,studi,82,2
1146,studi,89,1
1147,studi,100,1
1148,studi,104,1
1149,studi,111,1
1150,studi,117,1
1151,studi,122,2
1152,studi,127,2
1153,studi,150,1
1154,studi,156,2
1155,studi,159,1
1156,studi,163,3
1157,studi,166,1
1158,studi,169,1
1159,studi,170,1
1160,studi,184,1
1161,studi,192,1
1162,studi,197,2
1163,studi,203,2
1164,studi,206,3
1165,studi,215,2
1166,studi,219,1
1167,studi,220,1
1168,studi,224,2
1169,studi,255,2
1170,studi,256,1
1171,studi,266,2
1172,studi,269,4
1173,studi,271,1
1174,studi,276,2
1175,studi,278,1
1176,studi,288,2
1177,studi,292,2
1178,studi,296,2
1179,studi,302,1
1180,studi,318,1
1181,studi,326,1
1182,studi,333,1
1183,studi,336,1
1184,studi,343,1
1185,studi,346,1
1186,studi,351,1
1187,studi,364,1
1188,studi,365,1
1189,studi,368,1
1190,studi,370,1
1191,studi,389,1
1192,studi,400,1
1193,studi,406,1
1194,studi,417,1
1195,studi,419,1
1196,studi,420,3
1197,studi,424,1
1198,studi,432,1
1199,studi,442,1
1200,studi,445,1
1201,studi,454,1
1202,studi,455,1
1203,studi,463,3
1204,studi,471,1
1205,studi,488,1
1206,studi,490,1
1207,studi,506,1
1208,studi,507,1
1209,studi,513,1
1210,studi,524,1
1211,studi,530,1
1212,studi,543,1
1213,studi,547,1
1214,studi,548,2
1215,studi,549,1
1216,studi,559,1
1217,studi,560,1
1218,studi,562,2
1219,studi,571,2
1220,studi,573,1
1221,studi,575,3
1222,studi,577,1
1223,studi,580,1
1224,studi,584,1
1225,studi,587,4
1226,studi,609,1
1227,studi,611,1
1228,studi,612,1
1229,studi,613,1
1230,studi,625,1
1231,studi,638,1
1232,studi,639,2
1233,studi,643,1
1234,studi,652,1
1235,studi,656,1
1236,studi,659,1
1237,studi,666,2
1238,studi,674,1
1239,studi,679,1
1240,studi,689,1
1241,studi,694,2
1242,studi,710,1
1243,studi,715,2
1244,studi,720,1
1245,studi,721,2
1246,studi,725,1
1247,studi,726,2
1248,studi,728,1
1249,studi,742,1
1250,studi,752,1
1251,studi,756,1
1252,studi,757,1
1253,studi,759,1
1254,studi,760,1
1255,studi,771,1
1256,studi,774,1
1257,studi,776,1
1258,studi,780,1
1259,studi,781,1
1260,studi,796,1
1261,studi,800,2
1262,studi,803,1
1263,studi,804,1
1264,studi,819,1
1265,studi,821,2
1266,studi,826,1
1267,studi,829,1
1268,studi,835,1
1269,studi,839,2
1270,studi,846,1
1271,studi,847,1
1272,studi,855,4
1273,studi,856,1
1274,studi,861,1
1275,studi,864,1
1276,studi,883,1
1277,studi,891,1
1278,studi,898,1
1279,studi,902,1
1280,studi,906,4
1281,studi,910,1
1282,studi,911,2
1283,studi,916,1
1284,studi,918,1
1285,studi,927,1
1286,studi,940,2
1287,studi,941,1
1288,studi,951,1
1289,studi,952,1
1290,studi,956,1
1291,studi,966,2
1292,studi,973,1
1293,studi,974,1
1294,studi,990,3
1295,studi,992,1
1296,studi,993,1
1297,studi,995,1
1298,studi,996,4
1299,studi,1000,1
1300,studi,1001,2
1301,studi,1005,1
1302,studi,1017,1
1303,studi,1018,1
1304,studi,1024,1
1305,studi,1034,1
1306,studi,1053,2
1307,studi,1087,1
1308,studi,1098,1
1309,studi,1107,1
1310,studi,1108,1
1311,studi,1127,1
1312,studi,1133,1
1313,studi,1135,1
1314,studi,1143,1
1315,studi,1151,2
1316,studi,1152,1
1317,studi,1153,1
1318,studi,1159,1
1319,studi,1163,2
1320,studi,1166,2
1321,studi,1180,1
1322,studi,1183,1
1323,studi,1193,1
1324,studi,1200,1
1325,studi,1204,1
1326,studi,1212,1
1327,studi,1213,1
1328,studi,1215,1
1329,studi,1218,1
1330,studi,1223,1
1331,studi,1231,2
1332,studi,1232,1
1333,studi,1238,3
1334,studi,1245,1
1335,studi,1250,1
1336,studi,1252,1
1337,studi,1257,2
1338,studi,1263,2
1339,studi,1266,1
1340,studi,1267,1
1341,studi,1268,2
1342,studi,1270,1
1343,studi,1276,3
1344,studi,1277,2
1345,studi,1278,1
1346,studi,1280,1
1347,studi,1283,1
1348,studi,1287,1
1349,studi,1289,1
1350,studi,1294,2
1351,studi,1303,1
1352,studi,1308,1
1353,studi,1313,1
1354,studi,1335,2
1355,studi,1336,1
1356,studi,1350,1
1357,studi,1387,1
1358,studi,1390,1
1359,propel,0,1
1360,propel,41,8
1361,propel,77,4
1362,propel,89,1
1363,propel,99,1
1364,propel,197,2
1365,propel,209,12
